Country,Network,MCC,MNC
Canada,Videotron (Quebecor Media),302,51
Canada,Keewaytinook Mobile,302,53
Canada,Lynx Mobility (OmniGlobe Networks),302,56
Canada,Quadro Com,302,59
Canada,Bell Mobility (BCE),302,61
Canada,Ice Wireless,302,62
Canada,Bell Mobility (BCE),302,63
Canada,Bell Mobility (BCE),302,64
Canada,TBayTel,302,65
Canada,MTS Wireless (Manitoba Telecom Services),302,66
Canada,CityWest,302,67
Canada,Sasktel,302,68
Canada,Rogers Communications Canada Inc.,302,72
Canada,Shaw Telecom,302,74
Canada,Public Mobile Montreal,302,76
Canada,RuralCom,302,77
Canada,Sasktel,302,78
Canada,Telus Mobility,302,86
Canada,Telus Mobility,302,88
Canada,Wightman Telecom,302,94
Cape Verde,CVMovel (Cabo Verde Telecom),625,01
Cape Verde,T+ (Teylium),625,02
Cayman Islands,Digicel,346,05
Cayman Islands,FLOW (Cable & Wireless),346,14
Central African Republic,Moov (Etisalat),623,01
Central African Republic,Telecel (Orascom),623,02
Central African Republic,Orange,623,03
Central African Republic,Nationlink Telecom RCA,623,04
Chad,Airtel (Bharti Airtel),622,01
Chad,Tigo (Millicom),622,03
Chile,Entel,730,01
Chile,Movistar (Telefónica),730,02
Chile,Claro,730,03
Chile,WOM,730,04
Chile,Movistar,730,07
Chile,VTR Movil (MVNO),730,08
Chile,WOM,730,09
Chile,Telestar Movil (MVNO),730,12
Chile,Virgin Mobile (MVNO),730,13
China,China Mobile,460,00
China,China Unicom,460,01
China,China Telecom,460,03
China,China Tietong,460,20
Colombia,Lleida,732,03
Colombia,Claro,732,10
Colombia,Tigo (Millicom),732,11
Colombia,Movistar (Telefónica),732,12
Colombia,Avantel S.A.,732,13
Colombia,Virgin Mobile (MVNO),732,15
Colombia,Empresa de Telecomunicaciones de Bogotá,732,18
Comoros,Huri (Comores Telecom),654,01
Comoros,TELCO,654,02
Congo,Airtel Congo SA,629,01
Congo,Equateur Telecom SA,629,02
Congo,Warid Telecom (Abu Dhabi),629,07
Congo,MTN,629,10
Congo DR,Vodacom,630,01
Congo DR,Airtel sprl,630,02
Congo DR,Supercell,630,05
Congo DR,Orange RDC sarl,630,86
Congo DR,Tigo (Salt),630,89
Congo DR,Africell RDC sprl,630,90
Cook Islands,Bluesky,548,01
Costa Rica,Kolbi ICE,712,01
Costa Rica,Claro (América Móvil),712,03
Costa Rica,Movistar (Telefónica),712,04
Cote d Ivoire,Moov (Etisalat),612,02
Cote d Ivoire,Orange,612,03
Cote d Ivoire,koZ (Comium),612,04
Cote d Ivoire,MTN,612,05
Cote d Ivoire,GreenN (Oricel),612,06
Cote d Ivoire,café (Aircomm),612,07
Croatia,T-Mobile (T-Hrvatski Telekom),219,01
Croatia,Tele2,219,02
Croatia,A1,219,10
Cuba,Cubacel (Etecsa),368,01
Curaçao,Digicel,362,69
Cyprus,Cytamobile-Vodafone,280,01
Cyprus,MTN,280,10
Cyprus,PrimeTel,280,20
Cyprus,Lemontel (MVNO),280,22
Czech Republic,T-Mobile (Deutsche Telekom),230,01
Czech Republic,O2 (Telefónica),230,02
Czech Republic,Vodafone,230,03
Czech Republic,Nordic Telecom s.r.o.,230,04
Czech Republic,O2 (MVNO),230,97
Denmark,TDC,238,01
Denmark,Telenor,238,02
Denmark,3 (Hutchison),238,06
Denmark,Vectone Mobile (MVNO),238,07
Denmark,Lycamobile (MVNO),238,12
Denmark,Telia (TeliaSonera),238,20
Djibouti,Evatis (Djibouti Telecom),638,01
Dominica,FLOW (Cable & Wireless),366,11
Dominica,Digicel,366,20
Dominican Republic,Altice,370,01
Dominican Republic,Claro (América Móvil),370,02
Dominican Republic,Altice,370,03
Dominican Republic,Viva (Trilogy),370,04
Ecuador,Movistar (Telefónica),740,00
Ecuador,Claro,740,01
Ecuador,CNT Mobile,740,02
Egypt,Orange,602,01
Egypt,Vodafone,602,02
Egypt,Etisalat,602,03
Egypt,WE (Telecom Egypt),602,04
El Salvador,Claro (América Móvil),706,01
El Salvador,Digicel,706,02
El Salvador,Tigo (Millicom),706,03
El Salvador,Movistar (Telefónica),706,04
Equatorial Guinea,Orange (GETESA),627,01
Equatorial Guinea,HITS Telecom,627,03
Eritrea,Eritel,657,01
Estonia,Telia,248,01
Estonia,Elisa,248,02
Estonia,Tele2,248,03
Ethiopia,MTN (Ethio Telecom),636,01
Falkland Islands,Sure,750,00
Falkland Islands,Touch,750,01
Faroe Islands,Faroese Telecom,288,01
Faroe Islands,Hey,288,02
Fiji,Vodafone,542,01
Fiji,Digicel,542,02
Fiji,Telecom Fiji Ltd,542,03
Finland,DNA,244,03
Finland,Elisa,244,05
Finland,DNA,244,12
Finland,Alcom,244,14
Finland,Elisa (MVNO),244,21
Finland,Sonera (TeliaSonera),244,91
France,Orange,208,01
France,Sisteer (MVNO),208,04
France,SFR (MVNO),208,08
France,SFR,208,10
France,Free Mobile,208,15
France,Legos,208,17
France,Bouygues Telecom,208,20
France,Transatel Mobile,208,22
France,Syndicat mixte ouvert Charente numérique,208,23
France,Lycamobile (MVNO),208,25
France,NRJ Mobile (MVNO),208,26
France,Coriolis Telecom (MVNO),208,27
France,Syma Mobile (MVNO),208,30
France,Vectone Mobile (MVNO),208,31
French Guiana,Digicel,340,20
French Polynesia,Vodafone (Pacific Mobile Telecom),547,15
French Polynesia,Vini (Tikiphone),547,20
FYROM,T-Mobile (Makedonski Telekom),294,01
FYROM,Vip,294,02
FYROM,Vip,294,03
FYROM,Lycamobile (MVNO),294,04
Gabon,Libertis (Gabon Telecom),628,01
Gabon,Moov (Etisalat),628,02
Gabon,Airtel (Bharti Airtel),628,03
Gabon,Azur,628,04
Gambia,Gamcel,607,01
Gambia,Africell,607,02
Gambia,Comium,607,03
Gambia,Qcell,607,04
Georgia,Geocell (Silknet),282,01
Georgia,Magticom,282,02
Georgia,Beeline (Mobitel),282,04
Georgia,S1 Silknet (CDMA),282,05
Germany,Telekom (Deutsche Telekom),262,01
Germany,Vodafone,262,02
Germany,E-Plus,262,03
Germany,O2 (Telefónica),262,07
Germany,Dolphin Telecom (MVNO),262,12
Germany,Telogic ViStream (MVNO),262,16
Germany,Voiceworks (MVNE),262,20
Germany,Sipgate Wireless GmbH (MVNO),262,22
Germany,Lycamobile (MVNO),262,43
Ghana,MTN,620,01
Ghana,Vodafone,620,02
Ghana,AirtelTigo (Milicom),620,03
Ghana,Expresso (Sudatel),620,04
Ghana,AirtelTigo (Airtel),620,06
Ghana,Globacom,620,07
Gibraltar,GibTel,266,01
Gibraltar,CTS Mobile,266,06
Greece,Cosmote,202,01
Greece,Vodafone,202,05
Greece,AMD Telecom,202,07
Greece,WIND,202,09
Greece,WIND (Largo),202,10
Greece,Cyta (Hellas),202,14
Greenland,Tele,290,01
Grenada,Digicel,352,03
Grenada,FLOW (Cable & Wireless),352,11
Grenada,Digicel,352,13
Guadeloupe,Orange,340,01
Guadeloupe,UTS Caraïbe,340,03
Guadeloupe,Amigo (Dauphin Telecom),340,08
Guam,PTI Pacifica Inc.,310,11
Guam,Gta Wireless,310,14
Guam,IT&E Wireless,310,32
Guam,IT&E (PTI),310,35
Guam,iConnect,310,40
Guam,NTT Docomo Pacific,310,47
Guatemala,Claro,704,01
Guatemala,Tigo (Millicom),704,02
Guatemala,Movistar (Telefónica),704,03
Guernsey,JT,234,50
Guernsey,Sure Mobile,234,55
Guinea,Orange,611,01
Guinea,Sotelgui,611,02
Guinea,Telecel Guinee,611,03
Guinea,MTN (Areeba),611,04
Guinea,Cellcom,611,05
Guinea-Bissau,MTN,632,02
Guinea-Bissau,Orange,632,03
Guinea-Bissau,Guinetel,632,07
Guyana,Digicel,738,01
Guyana,GT&T Cellink Plus,738,02
Haiti,Digicel,372,02
Haiti,Natcom,372,03
Honduras,Claro (América Móvil),708,01
Honduras,Tigo (Millicom),708,02
Honduras,Hondutel,708,30
Honduras,Digicel,708,40
Hong Kong,CSL (Telstra),454,00
Hong Kong,CITIC Telecom 1616 (MVNO),454,01
Hong Kong,CSL (Telstra),454,02
Hong Kong,Hutchison3G,454,03
Hong Kong,3 (Hutchison),454,04
Hong Kong,SmarTone,454,06
Hong Kong,China Unicom (MVNO),454,07
Hong Kong,Truphone (MVNO),454,08
Hong Kong,China Motion Telecom (HK) Ltd,454,09
Hong Kong,China-Hong Kong Telecom (MVNO),454,11
Hong Kong,China Mobile,454,12
Hong Kong,3 (Hutchison),454,14
Hong Kong,SmarTone,454,15
Hong Kong,PCCW (HKT),454,16
Hong Kong,SmarTone,454,17
Hong Kong,PCCW (HKT),454,19
Hong Kong,PCCW (HKT),454,29
Hong Kong,CTExcel (MVNO),454,31
Hungary,Telenor,216,01
Hungary,T-Mobile (Magyar Telekom),216,30
Hungary,Vodafone,216,70
Hungary,UPC Hungary Ltd (MVNO),216,71
Iceland,Siminn,274,01
Iceland,Vodafone (Fjarskipta),274,02
Iceland,Viking,274,04
Iceland,On-waves,274,08
Iceland,Nova,274,11
Iceland,Tal (MVNO),274,12
India,MTS (Sistema Shyam TeleServices),404,00
India,Vodafone,404,01
India,Airtel (Bharti Airtel),404,02
India,Airtel (Bharti Airtel),404,03
India,Idea Cellular,404,04
India,Vodafone,404,05
India,Idea Cellular,404,07
India,Reliance Communications,404,09
India,Airtel (Bharti Airtel),404,10
India,Vodafone,404,11
India,Idea Cellular,404,12
India,Vodafone,404,13
India,Idea Cellular,404,14
India,Aircel (Maxis),404,15
India,Airtel (Bharti Airtel),404,16
India,Aircel (Maxis),404,17
India,Reliance Telecom Pvt Ltd,404,18
India,Idea Cellular,404,19
India,Vodafone,404,20
India,Loop Mobile,404,21
India,Idea Cellular,404,22
India,Idea Cellular,404,24
India,Aircel (Maxis),404,25
India,Vodafone,404,27
India,Aircel (Maxis),404,28
India,Aircel (Maxis),404,29
India,Vodafone,404,30
India,Airtel (Bharti Airtel),404,31
India,Aircel (Maxis),404,33
India,BSNL,404,34
India,Aircel (Maxis),404,35
India,Reliance Communications,404,36
India,Aircel (Maxis),404,37
India,BSNL,404,38
India,Airtel (Bharti Airtel),404,40
India,Aircel (Maxis),404,41
India,Aircel (Maxis),404,42
India,Vodafone,404,43
India,Idea Cellular,404,44
India,Airtel (Bharti Airtel),404,45
India,Vodafone,404,46
India,Airtel (Bharti Airtel),404,49
India,Reliance Communications,404,50
India,BSNL,404,51
India,Reliance Communications,404,52
India,BSNL,404,53
India,BSNL,404,54
India,BSNL,404,55
India,Idea Cellular,404,56
India,BSNL,404,57
India,BSNL,404,58
India,BSNL,404,59
India,Aircel (Maxis),404,60
India,BSNL,404,62
India,BSNL,404,64
India,BSNL,404,66
India,Reliance Communications,404,67
India,MTNL,404,68
India,MTNL,404,69
India,Airtel (Bharti Airtel),404,70
India,BSNL,404,71
India,BSNL,404,72
India,BSNL,404,73
India,BSNL,404,74
India,BSNL,404,75
India,BSNL,404,76
India,BSNL,404,77
India,Idea Cellular,404,78
India,BSNL,404,80
India,BSNL,404,81
India,Idea Cellular,404,82
India,Reliance Communications,404,83
India,Vodafone,404,84
India,Reliance Communications,404,85
India,Vodafone,404,86
India,IDEA Cellular Ltd,404,87
India,Vodafone,404,88
India,IDEA Cellular Ltd,404,89
India,Airtel (Bharti Airtel),404,90
India,Aircell Digilink India Ltd,404,91
India,Airtel (Bharti Airtel),404,92
India,Airtel (Bharti Airtel),404,93
India,Airtel (Bharti Airtel),404,94
India,Airtel (Bharti Airtel),404,95
India,Airtel (Bharti Airtel),404,96
India,Airtel (Bharti Airtel),404,97
India,Airtel (Bharti Airtel),404,98
India,Reliance Communications,405,01
India,Tata DOCOMO (Tata Teleservices),405,02
India,Reliance Communications,405,03
India,Chennai,405,04
India,Reliance Communications,405,05
India,Reliance Communications,405,06
India,Reliance Communications,405,07
India,Reliance Communications,405,08
India,Reliance Communications,405,09
India,Reliance Communications,405,10
India,Reliance Communications,405,11
India,Reliance Communications,405,12
India,Reliance Communications,405,13
India,Reliance Communications,405,14
India,Reliance Communications,405,15
India,Reliance Communications,405,17
India,Reliance Communications,405,18
India,Reliance Communications,405,19
India,Reliance Communications,405,20
India,Reliance Communications,405,21
India,Reliance Communications,405,22
India,Reliance Communications,405,23
India,Reliance Jio Infocomm (Reliance Industri,405,24
India,Tata DOCOMO (Tata Teleservices),405,25
India,Tata DOCOMO (Tata Teleservices),405,26
India,Tata DOCOMO (Tata Teleservices),405,27
India,Tata DOCOMO (Tata Teleservices),405,29
India,Tata DOCOMO (Tata Teleservices),405,30
India,Tata DOCOMO (Tata Teleservices),405,31
India,Tata DOCOMO (Tata Teleservices),405,32
India,Reliance Communications,405,33
India,Tata DOCOMO (Tata Teleservices),405,34
India,Tata DOCOMO (Tata Teleservices),405,35
India,Tata DOCOMO (Tata Teleservices),405,36
India,Tata DOCOMO (Tata Teleservices),405,37
India,Tata DOCOMO (Tata Teleservices),405,38
India,Tata DOCOMO (Tata Teleservices),405,39
India,Reliance Communications,405,40
India,Tata DOCOMO (Tata Teleservices),405,41
India,Tata DOCOMO (Tata Teleservices),405,42
India,Tata DOCOMO (Tata Teleservices),405,43
India,Tata DOCOMO (Tata Teleservices),405,44
India,Tata DOCOMO (Tata Teleservices),405,45
India,Tata DOCOMO (Tata Teleservices),405,46
India,Tata DOCOMO (Tata Teleservices),405,47
India,Reliance Jio Infocomm Ltd,405,48
India,Reliance Jio Infocomm Ltd,405,49
India,Reliance Jio Infocomm Ltd,405,50
India,Airtel (Bharti Airtel),405,51
India,Airtel (Bharti Airtel),405,52
India,Airtel (Bharti Airtel),405,53
India,Airtel (Bharti Airtel),405,54
India,Airtel (Bharti Airtel),405,55
India,Airtel (Bharti Airtel),405,56
India,Reliance Jio Infocomm Ltd,405,57
India,Reliance Jio Infocomm Ltd,405,58
India,Reliance Jio Infocomm Ltd,405,59
India,Reliance Jio Infocomm Ltd,405,60
India,Reliance Jio Infocomm Ltd,405,61
India,Reliance Jio Infocomm Ltd,405,62
India,Reliance Jio Infocomm Ltd,405,63
India,Reliance Jio Infocomm Ltd,405,64
India,Reliance Jio Infocomm Ltd,405,65
India,Vodafone,405,66
India,Vodafone,405,67
India,Reliance Jio Infocomm Ltd,405,68
India,Reliance Jio Infocomm Ltd,405,69
India,Idea Cellular,405,70
India,Reliance Jio Infocomm Ltd,405,71
India,Reliance Jio Infocomm Ltd,405,72
India,Reliance Jio Infocomm Ltd,405,73
India,Reliance Jio Infocomm Ltd,405,74
India,Vodafone,405,75
India,Reliance Jio Infocomm Ltd,405,76
India,Reliance Jio Infocomm Ltd,405,77
India,Reliance Jio Infocomm Ltd,405,78
India,Idea Cellular,405,79
India,Aircel (Maxis),405,80
India,Airtel (Bharti Airtel),405,81
India,Airtel (Bharti Airtel),405,82
India,Videocon,405,83
India,Airtel (Bharti Airtel),405,84
India,Airtel (Bharti Airtel),405,85
India,Aircel (Maxis),405,86
India,Reliance Jio Infocomm Ltd,405,87
India,BSNL,405,88
India,BSNL,405,89
India,MTS (Sistema Shyam TeleServices),405,90
India,Idea Cellular,405,91
India,Airtel (Bharti Airtel),405,92
India,Etisalat DB Telecom,405,93
India,Reliance Jio Infocomm Ltd,405,94
India,Unknown,405,99
Indonesia,Indosat (Ooredoo),510,01
Indonesia,Smartfren,510,09
Indonesia,Telkomsel (Telekomunikasi Selular),510,10
Indonesia,XL (Axiata),510,11
Indonesia,Net1,510,27
Indonesia,PT Mobile-8 Telecom,510,28
Indonesia,3 (Hutchison),510,89
Iran,Azartel (MVNO),432,02
Iran,Shatel (MVNO),432,08
Iran,MCI (TCI),432,11
Iran,TKC,432,14
Iran,MTCE,432,19
Iran,Rightel,432,20
Iran,Taliya,432,32
Iran,MTN Irancell,432,35
Iraq,Asiacell (Ooredoo),418,05
Iraq,Zain,418,20
Iraq,Zain,418,30
Iraq,Korek Telecom,418,40
Iraq,Mobitel,418,45
Iraq,Iraq Central Cooperative Association for,418,47
Iraq,ITC Fanoos,418,48
Iraq,IraqTel,418,49
Iraq,Itisaluna,418,62
Iraq,Regional Telecom,418,66
Iraq,Kalimat,418,70
Iraq,Omnea,418,76
Ireland,Vodafone,272,01
Ireland,Hutchison 3G Ireland limited,272,02
Ireland,Eir,272,03
Ireland,3 (Hutchison),272,05
Ireland,Tesco Mobile (MVNO),272,11
Ireland,Lycamobile (MVNO),272,13
Isle of Man,Manx Telecom,234,58
Israel,Partner,425,01
Israel,Cellcom,425,02
Israel,Pelephone,425,03
Israel,Hot Mobile,425,07
Israel,Golan Telecom Ltd,425,08
Israel,We4G,425,09
Israel,Free Telecom (MVNO),425,12
Israel,Home Cellular (MVNO),425,15
Israel,Rami Levy (MVNO),425,16
Israel,Cellact Communications (MVNO),425,18
Israel,019 Mobile (MVNO),425,19
Israel,Hot Mobile Ltd.,425,77
Italy,TIM (Telecom Italia),222,01
Italy,Noverca (MVNO),222,07
Italy,Fastweb (MVNO),222,08
Italy,Vodafone,222,10
Italy,Poste Mobile (MVNO),222,33
Italy,BT Italia (MVNO),222,34
Italy,Lycamobile (MVNO),222,35
Italy,Digi Italy Srl,222,36
Italy,Iliad Italia SPA,222,50
Italy,WIND (VimpelCom),222,88
Italy,3 (Hutchison),222,99
Jamaica,Digicel (Jamaica) Limited,338,05
Jamaica,FLOW (Cable & Wireless),338,18
Japan,Y!Mobile,440,00
Japan,SoftBank Mobile,440,04
Japan,NTT DOCOMO,440,10
Japan,Softbank Corp,440,20
Japan,au (KDDI),440,54
Jersey,Airtel-Vodafone (Bharti),234,03
Jordan,Zain,416,01
Jordan,Umniah,416,03
Jordan,Orange,416,77
Kazakhstan,Beeline (KaR-Tel LLP),401,01
Kazakhstan,Kcell JSC,401,02
Kazakhstan,Altel,401,07
Kazakhstan,Kazakhtelecom,401,08
Kazakhstan,Tele2,401,77
Kenya,Safaricom,639,02
Kenya,Airtel (Bharti Airtel),639,03
Kenya,Telkom,639,07
Kiribati,TSKL,545,09
Kosovo,Vala (Telecom of Kosovo J.S.C.),221,01
Kosovo,IPKO,221,02
Kosovo,Z Mobile (MVNO),221,06
Kuwait,Zain,419,02
Kuwait,K.S.C Ooredoo,419,03
Kuwait,Viva (KTC),419,04
Kyrgyzstan,Beeline (Sky Mobile LLC),437,01
Kyrgyzstan,7 Mobile,437,03
Kyrgyzstan,MegaCom (Alfa Telecom),437,05
Kyrgyzstan,O! (NurTelecom),437,09
Laos,LaoTel,457,01
Laos,ETL,457,02
Laos,Unitel,457,03
Laos,Beeline (VimpelCom),457,08
Latvia,LMT,247,01
Latvia,Tele2,247,02
Latvia,Triatel,247,03
Latvia,Bite,247,05
Lebanon,Alfa (OTMT),415,01
Lebanon,Touch (Zain),415,03
Lesotho,Vodacom,651,01
Lesotho,Econet Wireless,651,02
Liberia,Lonestar Communications Corporation,618,01
Liberia,Novafone,618,04
Liberia,Orange LBR,618,07
Libya,Libyana,606,00
Libya,Madar,606,01
Liechtenstein,Swisscom,295,01
Liechtenstein,7acht (Salt Liechtenstein AG),295,02
Liechtenstein,FL1 (Telecom Liechtenstein AG),295,05
Lithuania,Telia,246,01
Lithuania,Bite,246,02
Lithuania,Tele2,246,03
Luxembourg,Post,270,01
Luxembourg,Tango (Belgacom),270,77
Luxembourg,Orange (Mobistar),270,99
MACAU,Smartone,455,00
MACAU,CTM,455,01
MACAU,China Telecom,455,02
MACAU,3 (Hutchison),455,03
Madagascar,Airtel (Bharti Airtel),646,01
Madagascar,Orange,646,02
Madagascar,Telma,646,04
Malawi,TNM,650,01
Malawi,Airtel (Bharti Airtel),650,10
Malaysia,TM Homeline,502,11
Malaysia,Maxis,502,12
Malaysia,Celcom Axiata Berhad,502,13
Malaysia,YTL Communications,502,15
Malaysia,DiGi,502,16
Malaysia,U Mobile,502,18
Malaysia,Celcom (Axiata),502,19
Maldives,Dhiraagu,472,01
Maldives,Ooredoo,472,02
Mali,Malitel,610,01
Mali,Orange,610,02
Mali,ATEL-SA,610,03
Malta,Vodafone,278,01
Malta,Go,278,21
Malta,Melita Mobile,278,77
Martinique,Outremer Telecom,340,02
Mauritania,Mattel,609,01
Mauritania,Chinguitel (Sudatel),609,02
Mauritania,Mauritel,609,10
Mauritius,my.t,617,01
Mauritius,Mokoze / Azu (MTML),617,02
Mauritius,Chili (MTML),617,03
Mauritius,Emtel,617,10
Mexico,AT&T,334,01
Mexico,Telcel (América Móvil),334,02
Mexico,Movistar (Telefónica),334,03
Mexico,AT&T,334,05
Mexico,AT&T,334,09
Micronesia,FSM Telecom,550,01
Moldova,Orange,259,01
Moldova,Moldcell (Fintur),259,02
Moldova,IDC (Interdnestrkom) Transnistria,259,03
Moldova,Moldtelecom,259,05
Moldova,Unité,259,99
Monaco,Monaco Telecom,212,01
Monaco,Monaco Telecom,212,10
Mongolia,Skytel,428,01
Mongolia,G-Mobile,428,06
Mongolia,Unitel,428,88
Mongolia,MobiCom,428,99
Montenegro,Telenor,297,01
Montenegro,T-Mobile,297,02
Montenegro,m:tel CG,297,03
Montserrat,FLOW (Cable & Wireless),354,86
Morocco,Orange Morocco,604,00
Morocco,Ittissalat Al-Maghrib (Maroc Telecom),604,01
Morocco,inwi,604,02
Mozambique,mCel (Mozambique Cellular),643,01
Mozambique,Movitel (Viettel),643,03
Mozambique,Vodacom,643,04
Myanmar,MPT,414,01
Myanmar,Ooredoo,414,05
Myanmar,Telenor Myanmar,414,06
Myanmar,Mytel,414,09
Namibia,MTC,649,01
Namibia,Switch,649,02
Namibia,TN Mobile,649,03
Nepal,Nepal Telecom (NDCL),429,01
Nepal,Ncell Pvt Ltd,429,02
Nepal,SmartCell,429,04
Netherlands,Tele2,204,02
Netherlands,Voiceworks BV,204,03
Netherlands,Vodafone,204,04
